Title,URL,Likes,Views,Comments Count,Description,Published At,Channel ID,Channel Title
Inside the DC Mansion Murders (2015),https://www.youtube.com/watch?v=wfcN2iaE2vE,13920,1552462,1510,"CNN's Pamela Brown speaks with investigators and law enforcement officials about the dramatic story of the 2015 Washington, DC mansion murders that left four dead.  #CNN #News",2024-02-10T23:00:28Z,UCupvZG-5ko_eiXAupbDfxWw,CNN
Suspects wanted in DC homicide,https://www.youtube.com/watch?v=SDoOr39lAV0,1,273,0,"D.C. police are looking for two people who they believe are involved in the shooting death of 36-year-old David Washington.

Visit our website: https://www.DCNewsNow.com
Follow us on Facebook: https://www.facebook.com/wdvmtv
Follow us on Twitter: https://www.twitter.com/DCNewsNow
Subscribe to our YouTube channel: https://www.youtube.com/DCNewsNow",2024-09-18T20:56:10Z,UCP3sSdrcCw7qC0qSrD8xOHQ,DC News Now
DC Police search for suspect in homicide case,https://www.youtube.com/watch?v=H3Au26Fws64,8,1707,6,"Police are searching for a suspect connected to a shooting that happened in September in Southeast, D.C.",2023-10-15T03:21:37Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
DC double homicide victims identified; surveillance cameras capture person of interest: police,https://www.youtube.com/watch?v=SA4JBVg8FD8,15,3156,1,"Authorities are searching for who they say is a person of interest in a shooting that killed a man and a woman in southwest Washington.

DETAILS: http://tinyurl.com/262bgh9j
---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-02-06T13:59:03Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
3 dead in multiple DC shootings,https://www.youtube.com/watch?v=uoxncSc1c5c,143,16440,47,"It's been a violent start to the week in the District, as police investigate several shootings in just 24 hours. At least three people have been killed. FOX 5’s Melanie Alnwick has the latest.

DETAILS: https://tinyurl.com/ylutly69

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-10-08T10:02:13Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
D.C.&#39;s First Female Homicide Detective Uncovers Chilling Crime | The Case I Can&#39;t Forget | A&amp;E,https://www.youtube.com/watch?v=dw4exHCv5fY,1416,50078,107,"Romaine Jenkins investigated many horrifying crimes as the first female homicide detective in Washington DC, but one still haunts her to this day.

#TheCaseICantForget

Subscribe for more from The Case I Can't Forget and other great A&E shows:
http://aetv.us/subscribe_ae

Check out exclusive A&E content: 
Website - http://www.aetv.com/  
Facebook - https://www.facebook.com/AETV 
Twitter - https://twitter.com/AETV

A&E® leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether it's the network's distinctive brand of award-winning disruptive reality or groundbreaking documentary, A&E makes entertainment an art form. Visit us at aetv.com for more info.",2024-07-12T19:00:27Z,UCNIFiHaLZkYASaWDdkC1njg,A&E
Why violent crime is rising in Washington D.C.,https://www.youtube.com/watch?v=pKO6G0euino,199,18999,179,"The House Administration Committee is being briefed by the House sergeant at arms and Capitol Police on a sharp rise in brazen crimes over the past year in Washington D.C. Daniel Webster, a distinguished research scholar at the Johns Hopkins Center for Gun Violence Solutions, joined CBS News to discuss the rise in crime in the nation's capital.

#news #washington #crime 

CBS News Streaming Network is the premier 24/7 anchored streaming news service from CBS News and Stations, available free to everyone with access to the Internet. The CBS News Streaming Network is your destination for breaking news, live events and original reporting locally, nationally and around the globe. Launched in November 2014 as CBSN, the CBS News Streaming Network is available live in 91 countries and on 30 digital platforms and apps, as well as on CBSNews.com and Paramount+.

Subscribe to the CBS News YouTube channel: https://youtube.com/cbsnews
Watch CBS News: https://cbsn.ws/1PlLpZ7c
Download the CBS News app: https://cbsn.ws/1Xb1WC8
Follow CBS News on Instagram: https://www.instagram.com/cbsnews/
Like CBS News on Facebook: https://facebook.com/cbsnews
Follow CBS News on Twitter: https://twitter.com/cbsnews
Subscribe to our newsletters: https://cbsn.ws/1RqHw7T
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",2023-09-18T20:53:32Z,UC8p1vwvWtl6T73JiExfWs1g,CBS News
"32-year-old mother, special police officer identified as DC homicide victim",https://www.youtube.com/watch?v=CmGtq06J7ik,21,1901,2,"On Monday, investigators say 32-year-old Cynthia Barringer died after being shot inside an apartment where a fire was later reported.

» Subscribe to WUSA9: https://bit.ly/2lO8e2F

FOLLOW US ON SOCIAL MEDIA –
Twitter: https://twitter.com/wusa9
Facebook: https://www.facebook.com/wusa9
Instagram: https://www.instagram.com/wusa9

NEWS TIPS –
Email: newstips@wusa9.com",2021-11-02T03:38:10Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Deadly 24 hours across DC with 3 homicides reported over weekend,https://www.youtube.com/watch?v=WrqdcGR6HPo,105,13580,34,"It was dangerous 24 hours in the District with three separate homicides Friday night into Saturday.

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-06-30T20:55:06Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
"DC crime: 11 shot, 2 dead in less than 24 hours",https://www.youtube.com/watch?v=LkrXst-EZwA,187,22641,135,"A surge in gun violence has left two people dead and nine others injured in less than 24 hours in Washington, D.C., and police are investigating to see if any of those shooting are connected.

DETAILS: https://tinyurl.com/2c4g5o7x

---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-07-25T11:22:20Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
