Title,Summary,Date,Full_Article
"political patties, dc bar that faced online outrage, shutting down","a bar on u street in washington, d.c. is closing its doors less than three months after opening, and in an exclusive interview with fox 5, the couple behind it blames online outrage as a driving factor.","December 4, 2024 9:03pm EST","fox 5 exclusive-a bar on u street in washington, d.c. is closing its doors less than three months after opening, and in an exclusive interview with fox 5, the couple behind it blames online outrage as a driving factor. political pattie's on 9th and u st. was only open 75 days. on wednesday, they shut down for good. owners sydney bradford and andrew benbow told fox 5 they have no regrets about the whirlwind experience, but say it just wasn't the right time or the right place for the concept and internet hate didn't help. the bar was supposed to be a nonpartisan place for people to share ideas and drinks in the heart of a very political city. but after initial backlash right when they opened, the couple who started it — a democrat and a moderate republican — say the experiment is over. ""we feel really strong and confident in the fact that bipartisanship should exist and there should be thought spaces like political pattie's all over the country but this just isn't the right time or place for that concept,"" bradford said. the couple opened political pattie's on sept. 20, just nine days after receiving the keys. the spot used to be a popular gay bar called the dirty goose. political pattie's tagline said wanted to put the 'lit' back in politics, even likening it to a sports bar for politics. but just days after that opening, the place spurred thousands and thousands of online comments, jokes, and outrage. asfox 5 reported, it was initially because their logo had a gop elephant alongside a democrat donkey. they painted over that and changed things but it never really seemed to recover. ""i think two months was enough time for us to really get a good understanding of what we were up against,"" bradford said. ""it's been a tough go,"" benbow said. ""we realize that the concept — and not just our bar concept but the concept of bipartisanship, the concept of reaching across to someone you may disagree with — we're not quite ready to do it. not here in d.c., not across the country."" still, benbow said he has no regrets. rather, he would have regretted if they hadn't tried it out. ""we were no regular bar, this is no regular bar. there were tens of thousands of comments about political patties' before anyone even knew the name political pattie's. from that first stroke of paint went on the building, there was a flood of comments,"" benbow said. when asked about the possibility of revamping and reopening, benbow said ""we believe in our concept, we love our concept, so of course the bar didn't work out but the concept of political pattie's, the spirit of political pattie's still lives. we are not interested at this point in having a bar under a different concept."" the couple said they are announcing what will happen to that space and the management of it 24 hours from now on theirinstagram page. according to d.c. planning and economic development data, there are currently 183 active businesses along the u street main street corridor with a vacancy rate of 7 percent, translating to roughly 13 available spaces. bradford and benbow also said roofing issues at the bar that forced them to close, along with recent deaths in both their families, played a role in their decision. the pair are attorneys and plan to return to law."
13-year-old girl sentenced to 7 years for 2023 beating death of dc man,a young teenager will spend the next seven years behind bars for her role in the beating death of a frail d.c. man on a street in northwest last year.,"December 4, 2024 8:51pm EST","washington-a young teenager will spend the next seven years behind bars for her role inthe beating deathof a frail d.c. man on a street in northwest last year. the 13-year-old was sentenced wednesday. in court, she apologized before she was ordered held until her 21st birthday. all five girls involved in the beating death of 64-year-old reggie brown, a d.c. man who family says suffered from multiple disabilities and was battling to beat cancer, were between the ages of 12 and 15 when they committed the crime in october 2023. despite their age, the girls are all being held accountable for the shocking and brutal crime. two of them werefound guilty of second-degree murderby a judge last month. read more:grieving family pushes for adult charges against 3 dc teens accused in deadly beating the attack happened near georgia ave., nw, around 1 a.m. on oct. 17, 2023. prosecutors said the five teen girls targeted brown at random, punching and kicking him to death as he was walking home. according to evidence, brown was left lying on his back with multiple lacerations and contusions. his pants were pulled off, and his shoes were removed. the medical examiner ruled that his death was due to blunt force trauma. two of the murder victim's sisters, nasia israel and malda brown, spoke after the 13-year-old was sentenced wednesday. read more:15-year-old girl sentenced to 3 years for killing 64-year-old man ""it saddens me that these young girls could be so brutal and do something so severe,"" malda brown said. ""i’m just grateful that the judge did give them the time that d.c. commits until to 21, so we are grateful for that. it’ll make my mom feel so much better once we get home to let her know that that did take place."" brown says she believes the laws should change so that juveniles convicted of violent crimes like the murder of her brother could be sentenced to life in prison and the family remains critical of the job being done by the city's department of youth rehabilitation services. ""dyrs is letting these kids back out with no consequences in and out the door and get slapped on the wrist and come back out and do the same thing again. committing more violent crimes?  i mean it's sad that our children have to be incarcerated but it's also sad that the danger that they pose to the community — what they do to people and the things that they do to people,"" nasia israel said. ""my brother didn't deserve that. nobody deserves that."" read more:12-year-old murder suspect injured in separate shooting in dc, family says one of the teenage girls who plead guilty to the beating death of brown and was sentenced to three years behind bars testified at trial the girls were bored that night. one of the accused videotaped and shared on social media the attack on brown. ""i had a nonprofit organization for three decades and i started out helping inner-city kids. i don’t do the work anymore because i’m scared of the kids,"" malda brown said. a man who started and participated in the beating of brown around 1 a.m. that night has not yet been identified, arrested or charged in this case. two of the other girls who participated in the beating death will be sentenced later this month."
video circulates of suspect 'bragging' about fatal shooting of community activist cornelius mcdonald,the d.c. man who police say fatally shot a beloved community activist outside of jasper's restaurant in largo will remain behind bars.,"December 4, 2024 3:54pm EST","prince george's county, md.-the d.c. man who police say fatally shot a beloved community activist outside of jasper's restaurant in largo will remain behind bars. a judge ultimately ruled against a bond for terrelle bailey. according to officials, bailey is a special police officer in d.c. and was legally carrying a firearm. his defense attorney argued the fatal shooting was in self-defense. bailey is charged with first and second degree murder among other charges. court documents indicate he and the victim, 33-year-old cornelius mcdonald, had an argument inside the restaurant. in fact, investigators say the argument became so disruptive that bailey was ordered to pay his bill and then escorted out the restaurant by police who were on site at the time. once outside the restaurant, bailey reportedly waited for neal mcdonald to leave the restaurant. the argument continued and bailey is accused of fatally shooting mcdonald. in the last 24 hours, prosecutors and mcdonald’s family say they are aware of video circulating on social media purporting to show terrelle bailey bragging about the shooting."
"photo released of 2 suspects involved in dc armed carjacking, 4 suspects remain at large: police","four suspects remain at large following an armed carjacking in southeast d.c., photos have been released of two suspects involved.","December 4, 2024 9:51am EST","washington, d.c.-four suspects remain at large following an armed carjacking in southeast d.c., photos have been released of two suspects involved. police are asking for the public's assistance in identifying the suspects pictured below: according to police, the carjacking occurred on friday, november 29, at approximately 4:00 p.m., four suspects approached the victim, who was seated in their vehicle, in the 3000 block of k street, southeast. police say one of the suspects brandished a handgun and demanded the victim’s car keys. the victim complied, and the suspects fled the scene in the victim’s vehicle. the victim’s vehicle was recovered a short time later.anyone with any information on this incident is asked to contact police."
police id teen gunned down at dc denny's restaurant; $25k reward offered,"authorities have identified the teen shot and killed at a washington, d.c. denny's restaurant.","December 4, 2024 8:52am EST","washington-authorities have identified the teen shot and killed at awashington, d.c.denny's restaurant. police say 18-year-old jeremiah law, of fort washington, was inside the restaurant in the 1200 block of bladensburg road when he was shot. he was found outside by first responders and transported to a nearby hospital where he later died. read more:suspects wanted after man killed in shooting at northeast dc denny's, police say officials have issued a lookout for two suspects, both described as black men in their early 20s, last seen running on bladensburg road towards benning road. d.c. police are offering a $25,000 to anyone who has information that leads to the arrest and conviction of the person or persons responsible."
dc ranks most vulnerable to identity theft and fraud in us: study,"washington, d.c. is alarmingly vulnerable to identity theft and fraud, according to a new wallethub study.","December 4, 2024 8:33am EST","washington-washington, d.c. is alarmingly vulnerable to identity theft and fraud, according to a newwallethub study. d.c. had 1,885 fraud complaints and 478 identity theft complaints per 100,000 residents last year, the highest in the nation. it also reported the third-highest average loss due to identity theft, exceeding $20,000. wallethub attributes this vulnerability to inadequate protective laws. for instance, d.c. does not allow parents or guardians to place a security freeze on minors’ credit reports and lacks an identity theft passport program to help prove identity if stolen, the personal-finance website says. the district also does not have a cybersecurity task force or laws against computer spyware. delaware ranked second most vulnerable overall, followed by california, south dakota, and florida. americans lost $10 billion to scams last year, wallethub said. west virginia ranked least vulnerable overall. for more tips and information, check out wallethub’sidentity theft guide."
woman randomly punched by man in dc speaks out: 'it's a lot of fear',"a woman was randomly punched in the back of the head while walking down the street in northwest, d.c.","December 4, 2024 12:05am EST","washington, d.c.-a d.c. woman tells fox 5 she’s still terrified after she says a man randomly punched her while she was walking near a smithsonian museum in northeast. she spoke exclusively with fox’s shomari stone, saying she’s still shaken up from the incident. ""[i’m] just really scared and anxious. i haven't gone out of the house by myself since the incident, so it's been almost a week and it's just a lot of paranoia, anxiety. i find myself hyperventilating when i try to go out, so it's a lot of fear,"" the victim told fox 5. she says she was walking with her husband near the smithsonian’s national postal museum on massachusetts avenue, ne, last wednesday around 1 p.m. when the man ran up to her and sucker punched her from behind, causing her to fall on the sidewalk. another woman witnessed what happened from her car and recorded cell phone video of the alleged attacker. in the video, you can see the woman who was sucker punched in the distance wearing a light blue hooded sweatshirt, holding her head. ""i saw this man turn towards the couple and punch the woman in the face really hard. it looked like he punched her temple and she immediately fell and grabbed her head and the man just continued to scream and turned around and started screaming at the cars,"" the witness said. ""that was the point in which i pulled out my camera and started recording him."" fox 5 is not revealing the man’s identity because d.c. police have not named him a suspect or charged him with the crime. both women say the man then took off running on massachusetts avenue toward union station. anyone with information on the incident should call police."
string of morning robberies across dc leaves residents shaken,d.c. police are asking the public for help tracking down those suspects responsible for the string of early morning robberies in the nation’s capital.,"December 3, 2024 10:50pm EST","washington-d.c. police are asking the public for help tracking down those suspects responsible for the string of early morning robberies in the nation’s capital. the seven attacks happened in just under two hours on monday morning. fox 5’s sierra fox spoke with some of the victims by phone who say they’re still processing those terrifying encounters. the thieves got away with eight iphones, an ipad a macbook, several wallets with hundreds of dollars worth of cash inside and even credit cards. more from fox 5:rash of retail break-ins across dc causes concern amid holiday shopping season ""definitely very, very concerning. i hate to hear that in the city in which i live for sure,"" one dc resident said. the first robbery happened just after 6 a.m. on 10th street in northeast. in that instance, three suspects threatened a family. the next attempt at 3rd and k street in northeast happened at 6:30 a.m. the robbery was unsuccessful because the victim fought back. just 25 minutes later at 6:55 a.m., one of the suspects held up someone at gunpoint and demanded their personal belongings on east capitol street in northeast. at 7 a.m., the thieves approached a victim on burke street in southeast and did the same thing. thirty minutes later, the suspects assaulted a man and took off with his technology and money. then at 7:46 a.m., a person was robbed at gunpoint on constitution avenue in northeast. more from fox 5:woman shaken, confused after man randomly punches her in northeast dc ""when you get any density of people together, i think it’s going to be difficult. people are going to have difficulties and try to take advantage of each other,"" another d.c. resident said. investigators believe the suspects used this white getaway vehicle caught on surveillance cameras. in addition, they say these individuals allegedly used the stolen credit cards from a robbery to purchase items. the victims tell fox 5 that the persons of interest appeared to be teenagers. one person who lives nearby the incidents said, ""i would definitely discourage any young people from doing that kind of activity. i don’t think it’s helpful for their futures or helpful for people now. if you’re doing it for selfish reasons, it’s not going to be good for you, it’s not going to look good for you and it’s harming others and that’s really never a good thing."" d.c. police are offering a $10,000 reward for any information that leads to an arrest. if you recognize the suspects, contact authorities right away."
"suspects wanted after man killed in shooting at northeast dc denny's, police say",d.c. police are investigating a deadly shooting that they say happened inside a denny’s in northeast.,"December 3, 2024 10:43pm EST","washington-d.c. police are investigating a deadly shooting that they say happened inside a denny’s innortheast. officers responded to the restaurant in the 1200 block of bladensburg road, ne, just before 11 a.m. on dec. 3. at the scene, police found an adult male inside suffering from gunshot wounds but they say he was conscious and breathing at the time. more from fox 5:woman punched by random man in head while walking in northeast dc the victim was taken to the hospital byd.c. fire and emsfor treatment. the man was later pronounced dead. police issued a lookout for two suspects, both described as black men in their early 20s, last seen running on bladensburg road towards benning road. anyone with information is asked to call 911."
woman shot near shake shack in dc after suspects break into vehicle: police,a person was left suffering gunshot wounds after being shot during a car robbery near shake shack in d.c.,"December 3, 2024 4:54pm EST","washington, d.c.-a woman was left suffering gunshot wounds after being shot during a car robbery near shake shack in d.c. police arrived in the 1400 block of 14th street for the report of a shooting. according to police, a couple was returning to their vehicle from the fast food restaurant shake shack, when they spotted two men breaking into their vehicle. the couple observed one of the suspects searching through the backseat of the vehicle while the other suspect stood as lookout. police say a male victim approached the two suspects with his firearm and shouted ""what are you doing?"" police say he did not shoot at the two suspects. the two suspects fled the scene and began running down rhode island avenue nw. according to police, one of the suspects stopped and shot one of the victims in the right arm with his firearm, which appeared to be a black semi-auto hand gun. police say the suspects are described as two black men, wearing ski masks and all black clothing. one is 5'10 and the other is 6 feet, armed with a gun. this remains an ongoing investigation. anyone with any information on this incident is asked to contact police."
