Title,Summary,Date,Full_Article,Crime_Type,Locality,Personal_Characteristics
judicial vacancies in dc courts result in delays and increased workloads,"d.c. courts are currently facing significant vacancies, leading to serious consequences such as higher caseloads for judges and delayed trials.",,"washington-d.c. courts are currently facing significant vacancies, leading to serious consequences such as higher caseloads for judges and delayed trials. the issue is also causing the public to wait longer for justice. the d.c. judicial system hasn't had a full bench in 11 years, resulting in the remaining judges struggling to keep up with the workload. in an urgent cry for help, dc courts sent a letter to lawmakers. ""we need to kick and scream in an effort to get the senate to start paying attention to the true judicial vacancy crisis the dc courts are facing,"" said spokesperson doug buchanan to fox 5. d.c. council chairman phil mendelson is actively addressing the ongoing problem. ""well, this is a dirty little secret, members of congress say ‘oh the district doesn’t need its own representatives in the senate and house because we represent everybody,’ well they don’t,"" mendelson said. ""i’ve been trying to get a meeting with senators for months."" currently, the court of appeals is down two judges, equating to a 22 percent deficit, while the superior court is short by ten judges, equating to a 16 percent deficit. u.s. attorney matthew graves highlighted the impact, stating, ""fewer judges mean fewer courtrooms where we can try cases."" this shortage is delaying justice for victims and preventing others from resolving crucial issues. ""i think it’s unfortunate that they are affected, adversely affected by this,"" said mendelson. the judicial backlog is evident with a 200-day delay in criminal cases compared to 2019, and only half the number of criminal cases being closed compared to that year. trial dates are now being pushed back to late 2025 and 2026, raising concerns about suspects having the opportunity to commit more crimes. ""well, it’s a concern whether or not the suspect or defendant is released on his own recognizance or is being held either way,"" mendelson stated. ""the research is very clear – swift and certain justice has its deterrent effect on crime. if someone commits a crime and doesn’t go to trial for a year or two, you lose the deterrent effect."" chairman mendelson hopes the senate will stop playing politics and quickly confirm judges. ""for mystery reasons, senators have the slows with this,"" he said. ""it confuses me why there would be partisan issues over d.c. trial court judges. these are not judges who are considering federal issues, they’re not considering issues that are important politically."" despite the recent swearing-in of two associate judges, d.c. leaders say it’s still not enough to deal with the backlog of cases.",Not relevant,Not relevant,Not relevant 
dc opens holiday market amid violence and drug concerns,"d.c. mayor muriel bowser told an audience “the state of our city is strong” at friday’s ribbon-cutting event, officially kicking off the 19th annual downtown holiday market. and the mayor received an applause.",,"washington-d.c. mayor muriel bowsertold an audience ""the state of our city is strong"" at friday’s ribbon-cutting event, officially kicking off the 19th annual downtown holiday market. and the mayor received an applause. the mayor also told the audience that downtown visits increased to 78% of the pre-pandemic level. ""we’re working every single day to make sure that we have strong finances, great schools, great public planning and that we’re working together hand in hand to make sure every part of washington d.c. is safe,"" mayor bowser said. this is not the same sentiment ward 5 anc commissioner kathy henderson had on thursday night, after a shooting in her community. the anc commissioner is among those, once again, calling on the mayor to request the national guard to help assist d.c. police in getting a handle ond.c. crime. on thursday, d.c. police responded tofive people being shot in five hours. as of friday, the department says 244 people have been murdered in the district —  the highest number of murders the city has seen since 2003. the mayor’s comments also arrive after shedeclared two public emergencies on youth violence and opioidsearlier this week. ""we’re supposed to be pivoting into celebrating the holiday season, but citizens continue to be afraid,"" henderson told fox 5 the night before. earlier this week, mayor bowser was asked about everything being done to address d.c. violence not seeming to work. her response had to do with containing to push until the ""ecosystem corrects itself."" when fox 5 asked how long it would take, bowser said, ""we’re working on it every single day."" in response to a question about whether something drastic needs to be done to address the level of gun violence, she replied: ""i talk about what we’re doing every single day."" damon donelson —  who told fox 5 he was born and raised in d.c. and is now a georgetown pivot program fellow — believes there is important work being done on the ground to address the violence that’s not always seen. he also says more needs to be done to hear from the youth and families in different communities experiencing different issues in their various neighborhoods. he does not see police arresting their way out of this violence as a full solution. donelson was out celebrating theopening of the holiday marketon friday. ""regardless of what’s going on, even in the face of disaster, washingtonians are always eager to get into the holiday mood because average life is so dreary throughout the course of the year that, we look for something to celebrate,"" he said. ""so this is the perfect opportunity to come together."" city leaders are hoping the downtown holiday market will help bring people together as well as promote certified, local d.c. businesses. at least 15 of them will be onsite at the holiday market from friday, nov. 17 through dec. 23 at 8th and f streets northwest.","homicide, assault w/dangerous weapon, ",,
"man shot, killed in navy yard apartment building: police",d.c. police are investigating a deadly shooting inside of an apartment building in navy yard that took place over the weekend.,,"washington-d.c. policeare investigating a deadly shooting inside of an apartment building innavy yardthat took place over the weekend. according to mpd, officers were called to the 1100 block of 2nd place, se, just after 3 a.m. sunday for a report of shots fired in the building. upon arrival, officers found a man suffering from gunshot wounds. he was pronounced dead at the scene. the victim has been identified as 44-year-old michael james quander jr., ofnorthwest. at this time, police have not provided a description of a suspect and it’s not yet known what the motive behind the shooting was. police are offering a reward of up to $25,000 to anyone who can provide information that leads to the arrest and conviction of the person or persons responsible. anyone with information shouldcall policeat 202-727-9099 or text a tip to 50411.",homicide ,Southeast,Adult male 
protests continue at george washington university after house republicans spar with demonstrators,"protests over the war in gaza continued at george washington university in d.c. on thursday, one day after house republicans sparred with demonstrators at a pro-palestinian encampment on campus.",,"washington-protests over the war in gaza continued at george washington university ind.c.on thursday, one day after house republicans sparred with demonstrators at a pro-palestinian encampment on campus. the house oversight committee sent a small delegation of republican members to the encampment on school grounds where they criticized the protests and d.c. mayor muriel bowser’s refusal to send in the city’s police department to disperse the demonstrators. it was loud at times, with protesters shouting, ""hands off dc,"" as republican members of the committee tried to speak. one lawmaker threatened to withhold federal funding for the school. read more:protests at george washington university continue; house republicans criticize dc’s response bowser on monday confirmed that the city and the district’s police department had declined the university’s request to intervene. ""we did not have any violence to interrupt on the gw campus,"" bowser said, adding that police chief pamela smith made the ultimate decision. ""this is washington, d.c., and we are, by design, a place where people come to address the government and their grievances with the government."" on thursday morning, the rally against campus antisemitism addressed concerns from jewish students who say the protests have veered into antisemitism. read more:george washington university says no place for ‘hateful language’ amid israel-hamas war protests the pro-palestinian encampment in the university yard has grown to about 100 tents. among their demands, protestors call for the school to cut all financial and academic ties with israel. president joe biden says demonstrations must remain free of violence. ""there’s the right to protest but not to cause chaos,"" the president said in brief remarks thursday morning. biden’s statement came as officers in los angeles cleared out the week-old protest encampment at ucla, where at least 132 demonstrators were detained in a dramatic overnight raid. read more:university protests must remain peaceful, biden says campus protests began after hamas’ deadly attack on southern israel, when militants killed about 1,200 people, most of them civilians, and took roughly 250 hostages. during the ensuing war, israel killed more than 34,000 palestinians in the gaza strip, according to the local health ministry. the associated press contributed to this report",Other,Northwest,Campus protest
porch pirate captured on surveillance camera in northeast dc,the metropolitan police department is searching for a porch pirate after a robbery in northeast.,,"washington-the metropolitan police department is searching for a porch pirate after a robbery in northeast. police have released a surveillance photo of a man stealing a package from the porch of a home on c street in washington, d.c. on september 15. anyone with any information on this incident or the suspect pictured above is asked to contact police. this is a developing story. stay with fox 5 dc for more updates and information.",Burglary,Northeast,Adult male 
go-go museum in dc will celebrate district's distinctive musical sound,"washington, d.c. will unveil a new cultural landmark on monday with the ribbon-cutting ceremony of the city’s first go-go museum and café in the historic anacostia neighborhood.",,"washington-washington, d.c.will unveil a new cultural landmark on monday with the ribbon-cutting ceremony of the city’s first go-go museum and café in the historic anacostia neighborhood. go-go music, a distinctive offshoot of funk with a unique conga-driven rhythm and call-and-response culture, has long been a hallmark of the district’s musical identity. this genre, known for its multiple percussionists and vocalists, was popularized by the late chuck brown in the early 1970s. bands like rare essence and trouble funk have also made significant contributions to its mainstream recognition. mayor muriel bowser will join museum founder and ceo ronald moten, chief curator dr. natalie hopkinson, and local artists, to celebrate the museum’s opening. in 2020, bowser signed the go-go music of the district of columbia designation act, making go-go the official music of washington, d.c. read more:fox 5 dc produces go-go music special the go-go museum & café will feature interactive holograms of backyard band pioneer and ""wire"" star ralph anwan glover, and sugarbear of eu. the museum's collection includes artifacts such as a rare essence bomber jacket, dj kool's touring jacket, a wig and outfit from maiesha and the hip huggers, and a promotional cutout of chuck brown. spanning over 8,000 square feet, the museum will include a café, three exhibition and interactive areas, a recording studio, and an outdoor stage for live performances. the ribbon-cutting ceremony will coincide with go-go preservation week, running from november 17 to november 23. a soft launch will offer private tours for ticket holders, with the general public opening set for february 19, 2025. the associated press contributed to this report.",Not relevant,Not relevant,Not relevant 
judge denies dc sniper malvo's request to vacate maryland murder convictions,"convicted sniper lee boyd malvo’s attorneys are expected to argue wednesday for the vacating of his six murder convictions in montgomery county, maryland, according to the montgomery county state’s attorney’s office.",,"rockville, md.-a montgomery county circuit court judge has denied convicted sniper lee boyd malvo’s request to vacate his 2002 plea agreement in which he pleaded guilty to committing six murders in maryland. malvo, who was 17 when he and john allen muhammad killed 10 people in the washington, d.c. area during a three-week spree in october 2002, was sentenced to life without parole. muhammad was executed in virginia in 2009. read more:dc sniper lee boyd malvo could return to montgomery county for resentencing in 2022, maryland courts ruled that malvo must be resentenced due to u.s. supreme court decisions on juvenile sentencing made after malvo received six life sentences without parole. despite this, the high court noted that malvo is unlikely to be released, as he is also serving life sentences for murders in virginia. read more:sniper lee malvo denied parole in virginia",homicide ,,Teen male
shots fired at officers from vehicle in southwest dc: police,authorities say shots were fired at officers from a vehicle friday morning in southwest washington.,,"washington-authorities sayshots were fired at officersfrom a vehicle friday morning in southwestwashington. officials say officers were in the 4600 block of martin luther king avenue just after 7 a.m. when gunshots rang out. no officers were struck, and no injuries were reported. police are looking for a 2015 gray jeep cherokee with virginia tags uls1721. roads in the area remain closed while police investigate. this is a developing story. stay with us for updates.",Assault w/dangerous weapon,southwest,
"arrest made in shooting that left 2 men dead, toddler injured in southeast dc",an arrest has been made in a southwest d.c. shooting that left two men dead and a toddler injured in july of this year.,,"washington-an arrest has been made in asoutheast d.c.shooting that left two men dead and a toddler injured in july of this year. d.c. police held a press conference thursday afternoon to announce the arrest of 25-year-old andre greene. he has been charged with first-degree murder while armed. the arrest stems from a deadly quadruple shooting that took place on july 18. according to police, officers responded to the intersection of 22nd and alabama ave., se, just before 11:30 a.m. on july 18. when they arrived, police found three men and a two-year-old girl suffering from gunshot wounds. police immediately began to treat the victims. two of the men were pronounced dead a short time later. the third man and the little girl were both taken to the hospital with non-life-threatening injuries, police say. following an initial investigation, police determined that at least three suspects jumped out of a white sedan at the intersection of 22nd street and savannah terrace, se, and began firing at the three male victims with what police believe were rifles. the two-year-old was unfortunately caught in the gunfire as she was walking with her daycare group, just moments after stepping outside of the building with her teachers and classmates. thankfully, no other children were injured. greene was taken into custody in southeast d.c. without incident thursday morning. police say greene is not the only suspect in the incident and the investigation is ongoing. two cars were also recovered in connection to the investigation but police say as there are outstanding suspects, they are not releasing any additional information at this time.",homicide,Southeast,"Adult male, child"
dc police id man found dead in trash can; homicide investigation underway,d.c. police have identified the man who was found dead from gunshot wounds inside of a trash can monday in southeast washington.,,"washington-d.c.police have identified the man who was founddead from gunshot woundsinside of a trash can monday in southeast washington. investigators responded to the 1800 block of fairlawn avenue around 7:30 p.m. to investigate the report of human remains found. read more:man found dead in trash can had been shot multiple times, dc police say officers say the body of 25-year-old kwame keith was found in the waste container. they say keith had been shot multiple times and ruled his death a homicide. a reward of up to $25,000 is being offered for information which leads to an arrest and conviction in the case. anyone with information is asked to call the police at 202-727-9099.",homicide,Southeast ,Adult male 
howard university prepares to host harris election night watch party,"vice president kamala harris will return to howard university on election night. harris, who graduated from the university, plans to spend tuesday evening with at her alma mater.",11/04/2024,"washington-vice president kamala harris will return to howard university on election night. harris, who graduated from the university, plans to spend tuesday evening with at her alma mater. with that comes and increased security presence and safety measures to help students and the vice president safe as they prepare for tuesday’s event. the campus is transforming as they prepare to host the vp and her running mate,  tim walz. the campaign confirmed last thursday that they will host their election night event there and it’s been non-stop preps ever since. crews are working around the clock, placing these jersey barriers on the bottom of 10 foot fences on georgia avenue. the work can be seen all throughout howard university’s campus. ""this makes me feel a lot better because we are an hbcu and we get so much hate,"" freshamn sanaa holston said. 'the yard' is where harris and walz will hold the watch party. it’s a place where students spend time hanging out, studying or enjoying a meal. ""it’s really magical to see what they’ve done with it,"" junior jamal richardson said. ""it’s exciting to see this get changed to this get changed into this gigantic spectacle with lights and stands and all these other things."" in a letter to the howard community, university president ben vinson iii says the department of public safety ""is working in collaboration with local and national law enforcement agencies on safety measures for our students, faculty, and staff, and an unprecedented number of visitors to our community."" ""just having those outside people come here and just having the student protected by these gates in our housing facilities, i think it’s important,"" howard student madeline willocks told fox 5. in addition to the increased security measures on campus, streets nearby are blocked off as well as a number of parking restrictions through sunday, nov. 10. neighbors and businesses near by say they aren’t bothered with the disruption. ""i’m extremely excited about it. to be in the heat of it, that’s why i live in d.c.,"" neighbor sally pearson said. students who will be on campus on tuesday tell fox 5 they’re looking forward to this historic event. ""if anything happens regardless of the outcome, i just want there to be peace on this campus,"" richardson said. in-person classes are canceled for the week, meaning a number of buildings are closed but students still have access to their dorms. dear howard university community,we are on the eve of a crucial moment in our nation's history, a moment rooted in howard’s history because of our alumna, presidential nominee kamala harris. her journey through howard is leading to a full circle moment with her return to campus on election night.we are honored that the university has been selected by the harris-walz campaign for tuesday’s historic event. as we continue preparations, i want to thank our faculty, staff, and students for your resilience, patience, and understanding during this unprecedented time.however, we do recognize the potential inconvenience to our campus community and interruption to regularly scheduled classes and campus activities. the administrative leadership team is aware that amidst the excitement of this moment, deep concerns exist about safety stemming from the nature of this highly charged election season, and access to campus and auxiliary services.after careful consideration and assurances of the attention to security and campus logistics, we decided that honoring the harris-walz campaign’s request was the correct choice in this historic moment. i assure you that the safety and security of our community is of the utmost importance to our administration and department of public safety (dps), as well as the harris-walz campaign.dps is working in collaboration with local and national law enforcement agencies on safety measures for our students, faculty, and staff, and an unprecedented number of visitors to our community. these measures require that we amend our schedules and limit access to the yard and corresponding buildings. we also ask that you add your vigilance to ours. if you see something, say something.the university counseling service and office of the dean of the chapel are available to provide support for those experiencing anxiety or needing spiritual uplift during this time. the office of the provost, office of the chief operating officer, division of student affairs, auxiliary services and other administrative offices are working to ensure that you have access to all services, support, and information needed throughout the event’s duration. above all, you are our top priority.as this election season comes to a close, one commonality rings true for us all regardless of our political affiliation: we are bison, connected by the legacy and long lineage of leaders who stand as a testament to howard’s commitment to our core values of excellence, leadership, truth, and service. i look forwarding to joining you as we welcome a daughter of howard back home to the mecca and invite the world to see once more what it truly means to be a bison!committed to truth and service,ben vinson iii, ph.d.president beginning sunday, november 3, 2024, at 6:00 a.m. through sunday, november 10, 2024, at 6:00 a.m., the following streets will be designated as emergency no parking zones. these restrictions may end earlier if the united states secret service no longer requires the security measures before november 10. starting monday, november 4, 2024, at 7:00 p.m., the following streets will be closed to all vehicle traffic. the duration of these closures will be based on the security requirements set by the united states secret service in coordination with the metropolitan police department. motorists and the public should anticipate an extended period of street closures. many roads in the immediate area during the road closures of the streets above, the following streets will be restricted to ""local traffic only"" beginning monday, november 4, 2024, at 7:00 p.m. officers positioned at these traffic posts will permit drivers to enter the area, upon request. metrobus, metrorail, and metroaccess services will also be impacted in the area around howard university’s campus. customers who use stations or bus routes in this area should allow additional travel time to account for detours and delays.metrobusthe following metrobus routes will be detoured beginning monday, november 4, 2024, at 7:00 p.m.: additional signage is being posted at all bus stops within the security perimeter to alert customers of detours and nearby alternatives.there may be additional unforeseen impacts to metrobus service. customers on these routes, and routes in the surrounding area, should allow additional travel time to account for detours and delays. as a result of the road closures, metro’s real-time service information through buseta and metro’s trip planner may not accurately reflect the detoured service. there are no scheduled impacts to the metrorail service in the area. customers are advised that door-to-door service will not be available within the security perimeter and delays are possible due to road closures in the area. efforts will be made to provide drop-off service as close as possible if traveling to/from a location in the restricted area. metroaccess will operate normal service outside of the area around howard university’s campus and is notifying customers of the potential impacts. the following capital bikeshare locations will be deactivated beginning the evening of november 4th: additionally, during the security closures, the area around howard university’s campus will be a no ride zone for capital bikeshare bike.",Not relevant ,Not relevant ,Not relevant 
hunter biden's law license suspended in dc following historic guilty verdict,hunter biden's license to practice law in the district of columbia was suspended following a jury finding him guilty in his criminal gun trial earlier this month.,,"washington-hunter biden's license to practice law in the district of columbia was suspended following a jury finding him guilty in his criminal gun trial earlier this month. as of tuesday morning, biden is ""suspended immediately from the practice of law"" inwashington, d.c., pending a formal proceeding that will determine whether to uphold the suspension. the district of columbia court of appeals e-filing system shows the order was filed on tuesday. the office of the disciplinary counsel in washington, d.c., sent a letter to the d.c. court of appeals last week seeking to suspend biden's license after his guilty verdict on june 11. the suspension only affects his ability to practice law in washington, d.c. the d.c. bar's website still lists robert hunter biden as being in ""good standing"" and ""active"" as of tuesday morning, fox news digital found. the page shows he has been licensed to practice law in washington, d.c., since 2007. biden earned a juris doctor degree from yale university in 1996 and previously worked for law firm boies schiller flexner. fox news digital reached out to biden's defense attorney abbe lowell's office for comment but did not immediately receive a reply. biden was found guilty on june 11 of lying about his drug use when purchasing a firearm in 2018. he was found guilty on three charges: making a false statement in the purchase of a gun, making a false statement related to information required to be kept by a federally licensed gun dealer, and possession of a gun by a person who is an unlawful user of or addicted to a controlled substance. biden had pleaded not guilty in the case. prosecutors worked to prove that biden lied on a federal firearm form, known as atf form 4473, in october 2018, when he ticked the ""no"" box when asked if he is an unlawful user of substances or addicted to controlled substances. biden has a long history of drug abuse, which was underscored in his 2021 memoir ""beautiful things."" the book was repeatedly referenced by both prosecutors and biden's defense team amid the nearly seven-day trial. the memoir walks readers through biden's highs and lows with addiction to crack cocaine and attempts to get sober. lowell did not deny biden's long history with substance abuse amid the trial, instead arguing that on the day biden bought the cobra colt .38, he did not consider himself an active drug addict. lowell cited the first son's stint in rehab ahead of the october 2018 purchase. prosecutors, however, argued biden was addicted to crack cocaine before, during and after he bought the handgun. in addition to citing biden's memoir, the prosecution team also presented the jury with text messages biden shared with family and apparent drug dealers to prove his addiction around the time period he purchased the firearm. just one day after the gun purchase, prosecutors showed the court that biden texted hallie biden, his sister-in-law turned girlfriend, to say he was ""waiting for a dealer named mookie."" a day after that text, he texted that he was ""sleeping on a car smoking crack on 4th street and rodney"" in wilmington. three of biden’s exes took the stand and testified during the trial, making court proceedings emotional at times. biden's ex-wife, kathleen buhle, who was married to biden for more than 20 years and with whom she shares three adult daughters, was among those who took the stand and told the jury about her experiences with biden when he was using drugs. ""i was definitely worried, scared,"" she said, describing how she would scour his car for drugs and drug paraphernalia to ensure their daughters would not drive the vehicle around with the substances. biden's ex-girlfriend, zoe kestan, also took the stand, walking the jury through biden’s rampant drug abuse throughout their relationship, including him smoking crack in hotel rooms, stealing away to public bathrooms to smoke crack and how she helped pick up drugs for him. she said the crack cocaine he purchased often was the size of a ""ping pong ball,"" which he broke into pieces and lit up in glass pipes. kestan testified under immunity. the jury took roughly three hours across two days to reach the guilty verdict. biden will be sentenced later this year, though no date has yet been issued. the law license suspension in washington, d.c., comes after biden's defense team re-submitted a motion requesting a new criminal trial, arguing the federal court in delaware lacked jurisdiction to go to trial earlier this month. the motion comes one week after lowell filed a similar motion but quickly withdrew it without explanation. read the full dc court of appeals order below:",Other ,,
4-month-old baby found safe after jeep she was in was stolen in georgetown,a 4-month-old baby girl who was inside an suv that was stolen in northwest friday evening has been found.,,"washington-a 4-month-old baby girl who was inside an suv that was stolen in northwest friday evening has been found. metropolitan police department officials confirmed the child was located safely on 28 street southeast d.c. nearly an hour after the theft was first reported around 6:03 p.m. the vehicle, described as a white jeep, was allegedly stolen in the 3000 block of m street and is notably missing its gas cap door, making it more identifiable. the infant was reportedly dressed in a pink snowsuit at the time of the theft. mpd mobilized a significant response to locate the missing jeep and ensure the safe return of the baby. officers are asking anyone with information to come forward immediately. this is a developing story. check back with fox 5 for updates.",Motor vehicle theft,Northwest,Child 
"woman killed in southeast dc amid spate of overnight shootings, metropolitan police say",metropolitan police are investigating a deadly shooting that took place in the early morning hours sunday in southeast d.c.,,"washington-metropolitan policeare investigating a deadly shooting that took place in the early morning hours sunday in southeast d.c. just after 3:45 a.m., police were called to the 4000 block of 13th street se, for a report of a shooting. police found a woman suffering from gunshot wounds and she was later pronounced dead. she has been identified as 52-year-old patricia johnson. police quickly apprehended the suspect, 46-year-old desmond thurston. he was arrested and charged with first-degree murder while armed. detectives say the shooting was domestic in nature. there were at least four otherovernight shootingsreported within hours of each other. officers were called to investigate in the 900 block of shepherd street, nw, the 1400 block of m street, nw, the 100 block of wayne place, se, and the 2500 block of georgia avenue nw. it’s not yet known how many victims there were if any. but the shootings contribute to the growing concerns about gun violence and homicide rates within the district. the city has seen more than 214 homicides, according tothe latest datafrom the metropolitan police department – a 37% increase from 2022. anyone with information on these shootings is asked to call 202-727-9099 or text 50411.",homicide,southeast,"Adult male, adult female "
