# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Title,Summary,Date,Full_Article
"2024 Holiday events in DC, Maryland and Virginia",The holiday season is in full swing and FOX 5 has your guide to the best attractions and events taking place in the D.C. area to celebrate!,"November 29, 2024 2:52pm EST","The ICE! exhibit at Gaylord National this year is featuring ""A Charlie Brown Christmas."""
Spotlight on local businesses at DC holiday markets,"This time period from Thanksgiving to Cyber Monday is the busiest for retailers - with the National Retail Federation estimating 183 million shoppers this yer. For small businesses, the season can be make or break.","November 29, 2024 2:24pm EST","WASHINGTON-This time period from Thanksgiving to Cyber Monday is the busiest for retailers - with the National Retail Federation estimating 183 million shoppers this yer. For small businesses, the season can be make or break."
'Food and Friends' delivers Thanksgiving meals across DC,"Serving the community is the highlight of this neighborhood and Thanksgiving is the “Super Bowl"" for one local non-profit that works to curb food insecurity. It’s called “Food and Friends."" They’re headquartered in Northeast D.C. but serve families across the greater DC region.","November 28, 2024 5:32pm EST","Serving the community is the highlight of this neighborhood and Thanksgiving is the ""Super Bowl"" for one local non-profit that works to curb food insecurity."
DC Central Kitchen prepares to deliver thousands of free Thanksgiving meals,A D.C. nonprofit has kicked their holiday meal prep into high gear.,"November 28, 2024 11:10am EST",A D.C. nonprofit has kicked their holiday meal prep into high gear. Volunteers and organizations are hard at work making sure Thanksgiving meals are ready to be handed out to the community.
Viral video shows neighborhood mechanic crashing into DC home,"In a TikTok video that has racked up hundreds of thousands of views, Toni Sanders captures the moments after a driver slammed through her fence and onto her porch – then takes off.","November 27, 2024 6:42pm EST","In a TikTok video that has racked up hundreds of thousands of views, Toni Sanders captures the moments after a driver slammed through her fence and onto her porch – then takes off. FOX 5's Homa Bash has the story."
New receptacles placed in Adams Morgan to help deal with 'jumbo' trash overflow,The night before Thanksgiving is the unofficial holiday when people go out with friends. D.C. has even granted 200 bars the ability to serve alcohol until 4 a.m. and one of D.C.’s hotspots expected to be busy Wednesday night is Adams Morgan.,"November 27, 2024 5:26pm EST",The night before Thanksgiving is the unofficial holiday when people go out with friends. D.C. has even granted 250 bars the ability to serve alcohol until 4 a.m. and one of D.C.’s hotspots expected to be busy Wednesday night is Adams Morgan.
Full List: DC bars and restaurants with 2024 Thanksgiving Day and weekend extended hours,"Here's the full list of Washington, D.C. bars and restaurants with 2024 Thanksgiving Day and weekend extended hours.","November 27, 2024 1:02pm EST","WASHINGTON-The Thanksgiving holiday is officially upon us in the nation's capital, and more than 250 bars have been granted extended hours to celebrate the occasion. Starting Wednesday, those establishments are allowed to stay open and serve alcohol until 4 a.m."
Thanksgiving 2024: Record-breaking holiday travel expected; rain anticipated Thursday,"The Transportation Security Administration expects to screen 18.3 million travelers over the next week, potentially making this the busiest Thanksgiving travel period ever.","November 27, 2024 12:52pm EST","The Transportation Security Administration expects to screen 18.3 million travelers over the next week, potentially making this the busiest Thanksgiving travel period ever."
Traveling internationally this Thanksgiving? Here’s what you need to know.,Traveling internationally this holiday season? U.S. Customs and Border Protection says be prepared.,"November 27, 2024 12:09pm EST",WASHINGTON-Traveling internationally this holiday season? U.S. Customs and Border Protection says be prepared.
Mini Draco with 20 rounds of ammo recovered in DC: police,The Metropolitan Police Department has arrested one person after recovering a mini Draco with 20 rounds of ammo.,"November 27, 2024 11:44am EST","WASHINGTON, D.C.-The Metropolitan Police Department has arrested one person after recovering a mini Draco with 20 rounds of ammo."
"Weed shop padlocked in DC, cops close 14th illegal dispensary","Authorities have shut down an illegal cannabis business in Northwest D.C., citing it as an imminent threat to public health and safety.","November 26, 2024 8:42pm EST","Authorities have shut down an illegal cannabis business in Northwest D.C., citing it as an imminent threat to public health and safety. FOX 5's Nana-Sentuo Bonsu spoke with the owner of Peace in the Air about the recent raid."
"Wendy Williams 'permanently incapacitated,' TMZ reports","Wendy Williams is reportedly ""permanently incapacitated"" due to her battle with dementia, according to her guardian.","November 26, 2024 1:53pm EST",Dr. Jen Caudle breaks down Wendy Williams recent diagnosis with frontotemporal dementia and apahasia.
Thanksgiving travel 2024: Best and worst times to drive,Hitting the road this Thanksgiving holiday? Here are the best and worst times to travel by car .,"November 26, 2024 1:28pm EST",WASHINGTON-Hitting the road this Thanksgiving holiday? You won’t be alone!
Avoid these specific roads during the Thanksgiving holiday travel rush,Beep! Beep! Avoid these peak congestion roadways during the Thanksgiving travel period.,"November 26, 2024 1:28pm EST","WASHINGTON-Brace yourself for the Thanksgiving holiday drive! With over 71 million travelers on the roads, expect detours and delays."
"Thanksgiving Day in DC region to feature rain, wind, highs in the 50s","The precipitation quickly moved out of the Washington, D.C. region Tuesday but another storm system is expected to bring rain to our area by Thanksgiving Day.","November 26, 2024 1:18pm EST","Tucker Barnes has the FOX 5 Weather forecast for Tuesday, November 26"
Large fire at Amtrak maintenance yard damages train cars,DC Fire and Rescue responded to an early morning fire at the Amtrak maintenance yard in Northeast.,"November 26, 2024 9:16am EST","WASHINGTON, D.C.-DC Fire and Rescue responded to an early morning fire at the Amtrak maintenance yard in Northeast."
Thanksgiving holiday travel: Nearly 80 million expected to journey 50 miles or more,Nearly 80 million people will travel 50 miles or more from home to their Thanksgiving holiday destinations this year.,"November 26, 2024 8:56am EST",Nearly 80 million people will travel 50 miles or more from home to their Thanksgiving holiday destinations this year.
Jon Taffer’s DC restaurant closes after two years in Chinatown,"A D.C. restaurant named after the man made famous by the show “Bar Rescue"" has closed.","November 25, 2024 7:08pm EST","""After more than two years of serving the Washington, D.C. community, the safety of our guests and employees remains our top priority,"" Taffer's Tavern said in a statement. The popular D.C. bar is closing."
