Title,URL,Likes,Views,Comments Count,Description,Published At,Channel ID,Channel Title
Inside the DC Mansion Murders (2015),https://www.youtube.com/watch?v=wfcN2iaE2vE,13918,1552574,1510,"CNN's Pamela Brown speaks with investigators and law enforcement officials about the dramatic story of the 2015 Washington, DC mansion murders that left four dead.  #CNN #News",2024-02-10T23:00:28Z,UCupvZG-5ko_eiXAupbDfxWw,CNN
Suspects wanted in DC homicide,https://www.youtube.com/watch?v=SDoOr39lAV0,1,278,0,"D.C. police are looking for two people who they believe are involved in the shooting death of 36-year-old David Washington.

Visit our website: https://www.DCNewsNow.com
Follow us on Facebook: https://www.facebook.com/wdvmtv
Follow us on Twitter: https://www.twitter.com/DCNewsNow
Subscribe to our YouTube channel: https://www.youtube.com/DCNewsNow",2024-09-18T20:56:10Z,UCP3sSdrcCw7qC0qSrD8xOHQ,DC News Now
DC Police search for suspect in homicide case,https://www.youtube.com/watch?v=H3Au26Fws64,8,1709,6,"Police are searching for a suspect connected to a shooting that happened in September in Southeast, D.C.",2023-10-15T03:21:37Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
D.C.&#39;s First Female Homicide Detective Uncovers Chilling Crime | The Case I Can&#39;t Forget | A&amp;E,https://www.youtube.com/watch?v=dw4exHCv5fY,1416,50092,107,"Romaine Jenkins investigated many horrifying crimes as the first female homicide detective in Washington DC, but one still haunts her to this day.

#TheCaseICantForget

Subscribe for more from The Case I Can't Forget and other great A&E shows:
http://aetv.us/subscribe_ae

Check out exclusive A&E content: 
Website - http://www.aetv.com/  
Facebook - https://www.facebook.com/AETV 
Twitter - https://twitter.com/AETV

A&E® leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether it's the network's distinctive brand of award-winning disruptive reality or groundbreaking documentary, A&E makes entertainment an art form. Visit us at aetv.com for more info.",2024-07-12T19:00:27Z,UCNIFiHaLZkYASaWDdkC1njg,A&E
"32-year-old mother, special police officer identified as DC homicide victim",https://www.youtube.com/watch?v=CmGtq06J7ik,21,1902,2,"On Monday, investigators say 32-year-old Cynthia Barringer died after being shot inside an apartment where a fire was later reported.

» Subscribe to WUSA9: https://bit.ly/2lO8e2F

FOLLOW US ON SOCIAL MEDIA –
Twitter: https://twitter.com/wusa9
Facebook: https://www.facebook.com/wusa9
Instagram: https://www.instagram.com/wusa9

NEWS TIPS –
Email: newstips@wusa9.com",2021-11-02T03:38:10Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
DC double homicide victims identified; surveillance cameras capture person of interest: police,https://www.youtube.com/watch?v=SA4JBVg8FD8,15,3164,1,"Authorities are searching for who they say is a person of interest in a shooting that killed a man and a woman in southwest Washington.

DETAILS: http://tinyurl.com/262bgh9j
---------------------------------------------------------------------
STAY CONNECTED AND STAY AHEAD WITH FOX 5 DC

Subscribe to FOX 5 DC on YouTube » https://youtube.com/channel/fox5dc?sub_confirmation=1
 
Read the latest local and national news on fox5dc.com » https://fox5dc.com/ 

Watch FOX 5 DC programming live » https://fox5dc.com/live  

Get your local forecast from the FOX 5 DC Weather team » https://www.fox5dc.com/weather

Learn how to follow us on social media, download our news and weather mobile apps, find us on your Smart TV and sign up for our daily newsletter » https://fox5dc.com/connect-with-fox-5-on-mobile-social-smart-tv-and-our-newsletter 

Follow FOX 5 DC on Facebook » https://facebook.com/fox5dc

Follow FOX 5 DC on Twitter » https://twitter.com/fox5dc 

Follow FOX 5 DC Instagram » https://instagram.com/fox5dc

Vote in the daily FOX 5 DC InstaPoll » https://fox5dc.com/instapoll

FOX 5 DC, WTTG-TV and FOX 5 PLUS, WDCA-TV are owned-and-operated TV stations of the Fox Broadcasting Company. We are located in Washington, D.C. and serves the entire Washington metropolitan area (including Northern Virginia, Maryland, and the Martinsburg, West Virginia area). Our studio is based in Bethesda, Maryland.",2024-02-06T13:59:03Z,UCHLyP4MuA-JAFBCwxXOEDdA,FOX 5 Washington DC
"Forensic Factor: Police Hunt Sniper Who Brought 23 Days of Terror to DC (S4, E2) | Full Episode",https://www.youtube.com/watch?v=3HG9r8hJv_4,5892,701458,468,"For 23 days in October 2002, a sniper terrorized the Washington DC area, shooting 13 people & killing 10. Police mounted one of the largest investigations in American history to catch the men behind the attack, in Season 4, Episode 2, ""Washington Sniper.""

#ForensicFactor
  
Subscribe for more from Forensic Factor and other great A&E shows:
http://aetv.us/subscribe_ae
  
Check out exclusive A&E content:
Website - http://www.aetv.com/
Facebook - https://www.facebook.com/AETV
Twitter - https://twitter.com/AETV""

A&E® leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether it's the network's distinctive brand of award-winning disruptive reality or groundbreaking documentary, A&E makes entertainment an art form. Visit us at aetv.com for more info.",2023-07-08T22:00:02Z,UCNIFiHaLZkYASaWDdkC1njg,A&E
DC Infant&#39;s Death Ruled Homicide | NBC4 Washington,https://www.youtube.com/watch?v=tIrbDh-NI5g,6,463,1,"A baby girl’s death in January was ruled a homicide by the medical examiner. News4’s Pat Collins reports.
_______
NBC4 Washington / WRC-TV is the No. 1 broadcast television station and the home of the most-watched local news in Washington, D.C., the country’s seventh largest television market. NBCWashington.com is the market’s most-visited local television station website across all platforms.
FOLLOW NBC4 WASHINGTON
Instagram: http://nbc4dc.com/3HxYkYH
Facebook: http://nbc4dc.com/iD1GvRQ
Twitter: http://nbc4dc.com/APF7vQM
TikTok: http://nbc4dc.com/pg5Nx67
VISIT OUR SITE: https://www.nbcwashington.com/
DOWNLOAD OUR FREE APPS: https://www.nbcwashington.com/products/
WATCH NBC4 LIVE ON AMAZON FIRE TV: https://www.nbcwashington.com/firetv/
WATCH NBC4 LIVE ON ROKU: https://www.nbcwashington.com/roku/d",2022-10-27T01:04:44Z,UC1VKVKhJLc7PjdPPVxTDk0Q,NBC4 Washington
Homicide investigation underway in SE DC after woman pronounced dead,https://www.youtube.com/watch?v=rRNFiUZ_nq8,6,1451,2,A homicide investigation is underway after a woman was pronounced dead following a shooting Friday night in the 1700 block of W Street Southeast.,2022-12-03T04:05:42Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
Homicide investigation underway in Northeast DC,https://www.youtube.com/watch?v=0C1kJ4eIDwY,4,364,0,Police say someone shot and killed a man late Thursday evening.,2023-01-20T04:08:36Z,UCcT6w3xUyVshyR2_2vrMp1w,WUSA9
